question,answer_agent,answer_orig,tool_calls,cost,document
"I just found this course — is it still okay to join now, or did I miss the start?","Yes — you can still join now. You didn’t miss the start.

The course materials are available, and you can start whenever you want. If you’re aiming for a certificate, just make sure to submit your project while submissions are still open.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""join late miss the start course can I still enroll late start date\""}""}]",0.00110625,74eb249bbf
"If I start late, can I still take part in the course and work through the materials?","Yes — you can start whenever you want and still work through the course materials at your own pace.

The videos and GitHub materials are available, so you can follow along even if you start late. A typical workflow is to:
1. Watch the lesson videos
2. Work through the notebooks/code
3. Read the homework instructions
4. Submit answers before the deadline, if the submission form is still open

One important note: if you want a certificate, you need to finish the course with a live cohort and submit the project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""start late still take part in the course work through the materials\""}""}]",0.0015975,74eb249bbf
Am I allowed to join after the course has already begun?,"Yes — you can still join after the course has already begun.

From the FAQ: “I just discovered the course. Can I still join?” → **Yes**, but if you want a certificate, you need to submit your project while the course is still accepting submissions.

If you want, I can also summarize what matters for getting the certificate.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""join after the course has already begun late enrollment after course starts\""}""}]",0.00102825,74eb249bbf
Will I still be able to get a certificate if I enroll now?,"Yes — but only if you can still submit your project while the course is accepting submissions.

For this course, you can work through the material in self-paced mode, but to get a certificate you must:
- finish the capstone project, and
- complete the required peer reviews,
- while a live cohort is still open for submissions.

So if you enroll now, you can still get a certificate only if the submission window is still open.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""certificate enroll now still able to get a certificate enrollment certificate timing deadline\""}""}]",0.0011595,74eb249bbf
What’s the deadline if I want to earn the certificate after joining late?,"If you joined late, you can still participate, but to earn the certificate you must submit your capstone project while the live cohort is still accepting submissions.

A couple of important points:
- There are **no individual deadline extensions**.
- **No late submissions** once the submission form closes.
- Homework is **not required** for the certificate; the key requirement is the **capstone project + required peer reviews**.

So the deadline is essentially: **before the cohort’s project submission window closes**.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""late join certificate deadline after joining late certificate deadline\""}""}]",0.0012405,74eb249bbf
I signed up for LLM Zoomcamp but still didn't get any confirmation email — do I need to wait for one before starting?,"No — you don’t need to wait for a confirmation email to start.

According to the course FAQ, if you registered, you’re already accepted, and registration is just for gauging interest. You can start learning and submitting homework while the form is open, even without a confirmation email.

If you want, I can also point you to the course docs and platform link to get started.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{""name"": ""search"", ""arguments"": ""{\""query\"":\""LLM Zoomcamp confirmation email signup wait before starting\""}""}]",0.0012825,977bf7786c
"Do I need an acceptance or confirmation email to begin the LLM Zoomcamp homework, or can I just start?","You don’t need an acceptance or confirmation email. You can start learning and submitting homework as soon as the form is open, and registration isn’t checked against a registered list.

If you want, I can also point you to the best place to start the course materials.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{""name"": ""search"", ""arguments"": ""{\""query\"":\""acceptance confirmation email begin LLM Zoomcamp homework start\""}""}]",0.0012735,977bf7786c
"If I registered for the LLM Zoomcamp, is there some approval email I’m supposed to receive later?","No—there isn’t a separate approval email you need to wait for. The FAQ says that if you registered for LLM Zoomcamp, you’re already accepted. Registration is just to gauge interest, and it isn’t checked against a registered list.

You can just start learning and submit homework while the form is open, even without registering.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{""name"": ""search"", ""arguments"": ""{\""query\"":\""LLM Zoomcamp approval email registered later receive approval email\""}""}]",0.0011730,977bf7786c
"Can I submit LLM Zoomcamp homework without being on some official registered list, or is registration required first?","You can submit LLM Zoomcamp homework without being on an official registered list. Registration is **not required first**.

According to the FAQ, you can “just start learning and submitting homework (while the form is open) without registering,” and it “is not checked against any registered list.” Registration is only for gauging interest before the start date.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{""name"": ""search"", ""arguments"": ""{\""query\"":\""LLM Zoomcamp homework registration required official registered list submit homework\""}""}]",0.00120075,977bf7786c
What’s the point of registering for the LLM Zoomcamp if it doesn’t seem to trigger a confirmation message?,"You don’t need a confirmation message. You’re accepted already.

Also, registration is mainly to gauge interest before the start date — it’s not checked against a registered list. So you can just start learning and submit homework while the form is open, even if no confirmation email appears.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{""name"": ""search"", ""arguments"": ""{\""query\"":\""LLM Zoomcamp registration confirmation message no confirmation point of registering\""}""}]",0.0013470,977bf7786c
How do I join the Office Hours or live workshop if the Zoom link isn’t shared with students?,"You don’t need the Zoom link as a student.

For Office Hours or live/workshop sessions:
- **Students join via YouTube Live**
- **Questions are submitted through Slido** (the link is pinned in the chat when the session is live)
- The **video link is posted in the announcements channel on Telegram and Slack** before the session starts
- You can also watch on the **DataTalksClub YouTube channel**

Don’t post questions in the chat, since they may be missed during busy sessions.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""join office hours live workshop Zoom link not shared with students\""}""}]",0.00134025,489dd1c9d9
Where do I find the live stream link for office hours before the session starts?,"The zoom link is only shared with instructors/presenters/TAs, not students.

Before the session starts, the live video link is usually posted in the **announcements channel on Telegram and Slack**. Once live, you can also watch on the **DataTalksClub YouTube channel**.

For questions during the session, use **Slido** (the link is pinned in chat when live).","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""live stream link office hours before session starts\""}""}]",0.0012240,489dd1c9d9
"Can students get the Zoom URL for workshop sessions, or is it only for the teaching team?","The Zoom link is **only published to instructors/presenters/TAs**, not to students.

Students are expected to join via **YouTube Live** and use **Slido** for questions. The video URL is usually posted in the announcements channel on **Telegram/Slack** before the session starts.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""Zoom URL workshop sessions students teaching team only\""}""}]",0.00133125,489dd1c9d9
What should I use to ask questions during the live session if I’m watching on YouTube?,"If you’re watching on YouTube, use **Slido** to ask questions during the live session. The Slido link is usually **pinned in the chat when the session is live**.

Also, don’t post questions directly in the YouTube chat, since they may be missed if the room is busy.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""YouTube live session ask questions live chat questions during session FAQ\""}""}]",0.001593,489dd1c9d9
Is there a place to watch the office hours live and submit questions without using the Zoom room?,"Yes — you can watch office hours live on **YouTube Live** and submit questions through **Slido**. The Zoom room is only for instructors/presenters/TAs, and the live video link is usually posted in the **announcements channel on Telegram and Slack** before the session starts.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""watch office hours live submit questions without using Zoom room\""}""}]",0.00113775,489dd1c9d9
What’s the best way to begin the course and not miss anything important?,"The best way to start is:

1. Read the **LLM Zoomcamp docs**
2. Check the **general Zoomcamp logistics docs**
3. Open the **LLM Zoomcamp GitHub repository**

A typical weekly workflow is:

- Watch the lesson videos
- Work through the notebooks/code
- Read the homework instructions on GitHub
- Submit your answers on the course platform before the deadline

A couple of helpful notes:

- You can start anytime; the materials are available.
- Deadlines are listed on the course management platform.
- The course doesn’t require waiting for a confirmation email to begin.

If you want, I can also give you a quick “first-day checklist” for the course.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""best way to begin the course and not miss anything important start course checklist orientation syllabus announcements\""}""}]",0.00152775,04919992b3
"Do I have to start the LLM Zoomcamp at a fixed time, or can I jump in whenever?","You can jump in whenever you want — there’s no fixed start time. The videos and GitHub materials are available, and you can follow the weekly workflow at your own pace. Homework deadlines are listed on the course management platform.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""LLM Zoomcamp fixed time start whenever jump in whenever start at a fixed time\""}""}]",0.00126525,04919992b3
"What’s the usual weekly routine for watching the lessons, doing the notebooks, and handing in homework?","A typical weekly workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit your answers through the course platform before the deadline.

If you want, I can also point you to where the homework instructions live for your current module.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""usual weekly routine watching lessons notebooks handing in homework weekly routine\""}""}]",0.001320,04919992b3
"Where do I find the main course materials, deadlines, and homework instructions?","You can find them here:

- **Main course materials / syllabus:** the **LLM Zoomcamp docs** and the **GitHub repository**
- **Deadlines, homework, and progress tracking:** the **course management platform**
  - https://courses.datatalks.club/llm-zoomcamp-2026/
- **Homework instructions:** the **GitHub homework instructions** in the cohort materials
  - For the 2026 cohort Module 1:
    - Materials: https://github.com/DataTalksClub/llm-zoomcamp/tree/main/cohorts/2026/01-agentic-rag
    - Homework: https://github.com/DataTalksClub/llm-zoomcamp/blob/main/cohorts/2026/01-agentic-rag/homework.md

Typical workflow:
1. Watch the lesson videos
2. Work through the notebooks/code
3. Read the homework instructions on GitHub
4. Submit answers on the course platform before the deadline

If you want, I can also point you to the exact page for your current module.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""main course materials deadlines homework instructions\""}""}]",0.001998,04919992b3
"Is the homework basically the same as the lesson exercises, or does it use different data/tasks?","Yes—generally the homework follows the lesson workflow, but it usually uses a different dataset or asks you to apply the same idea in a slightly different way.

So it’s not just a copy of the lesson exercises:
- same core concepts/workflow
- often different data
- sometimes slightly different tasks or framing

If you want, I can also point you to the homework instructions for the current module.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""homework same as lesson exercises different data tasks\""}""}]",0.00141675,04919992b3
I can’t find my name on the leaderboard — how do I jump to my own entry?,"If you can’t find your name on the leaderboard, click the **“Jump to your record on the leaderboard”** link — that should take you directly to your entry.

Also, when you set up your account, you were assigned a **random display name** by default, so your leaderboard name may not be your real name.

If you want to check or change it, go to **“Edit Course Profile”**:
- **First field:** your public nickname/display name
- **Second field:** your official name for the certificate

","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""leaderboard jump to my own entry name not found\""}""}]",0.0014385,c2903069a0
