question,document
"I just found this course — is it still okay to join now, or did I miss the start?",74eb249bbf
"If I start late, can I still take part in the course and work through the materials?",74eb249bbf
Am I allowed to join after the course has already begun?,74eb249bbf
Will I still be able to get a certificate if I enroll now?,74eb249bbf
What’s the deadline if I want to earn the certificate after joining late?,74eb249bbf
I signed up for LLM Zoomcamp but still didn't get any confirmation email — do I need to wait for one before starting?,977bf7786c
"Do I need an acceptance or confirmation email to begin the LLM Zoomcamp homework, or can I just start?",977bf7786c
"If I registered for the LLM Zoomcamp, is there some approval email I’m supposed to receive later?",977bf7786c
"Can I submit LLM Zoomcamp homework without being on some official registered list, or is registration required first?",977bf7786c
What’s the point of registering for the LLM Zoomcamp if it doesn’t seem to trigger a confirmation message?,977bf7786c
How do I join the Office Hours or live workshop if the Zoom link isn’t shared with students?,489dd1c9d9
Where do I find the live stream link for office hours before the session starts?,489dd1c9d9
"Can students get the Zoom URL for workshop sessions, or is it only for the teaching team?",489dd1c9d9
What should I use to ask questions during the live session if I’m watching on YouTube?,489dd1c9d9
Is there a place to watch the office hours live and submit questions without using the Zoom room?,489dd1c9d9
What’s the best way to begin the course and not miss anything important?,04919992b3
"Do I have to start the LLM Zoomcamp at a fixed time, or can I jump in whenever?",04919992b3
"What’s the usual weekly routine for watching the lessons, doing the notebooks, and handing in homework?",04919992b3
"Where do I find the main course materials, deadlines, and homework instructions?",04919992b3
"Is the homework basically the same as the lesson exercises, or does it use different data/tasks?",04919992b3
I can’t find my name on the leaderboard — how do I jump to my own entry?,c2903069a0
Why does the leaderboard show some random nickname instead of my real name?,c2903069a0
Where can I check what my current display name is in the course profile?,c2903069a0
Can I change the name that shows up on the leaderboard to my Slack or GitHub name?,c2903069a0
What name should I enter if I want my certificate to use my real full name instead of the default one?,c2903069a0
Can I do the course on my own schedule and still earn the certificate later with a live cohort?,69d122f12e
"If I study all the materials in self-paced mode, what still has to be done during the live cohort to get certified?",69d122f12e
"Do I need to submit homework to receive the certificate, or is the final project enough?",69d122f12e
When exactly do the project submission and peer reviews need to happen if I want the certificate?,69d122f12e
Is it possible to prepare the capstone first by myself and then join a live cohort just for the certificate requirements?,69d122f12e
"Do I still qualify for the certificate if I skipped the first homework, or is the Capstone the only thing that matters?",9f689c185f
"Is homework required to get the course certificate, or can I ignore it and still finish the course?",9f689c185f
"If I don’t submit all the homework, will I lose my chance at a certificate?",9f689c185f
What do I actually need to complete to receive the certificate in this course?,9f689c185f
"Are homework assignments mandatory, or are they just for practice and leaderboard points?",9f689c185f
Why does the homework content keep changing before I submit it?,96286b4be4
What does it mean when a homework title has [DRAFT] in it?,96286b4be4
How can I tell if the homework is actually ready and final?,96286b4be4
Is it safe to start working on a homework if it still looks like a draft?,96286b4be4
Why do the homework instructions or questions sometimes change after they appear?,96286b4be4
When is the next llm-zoomcamp session starting?,bd31146b0e
Do you know when this course will be offered again?,bd31146b0e
What’s the next time this course is planned to run?,bd31146b0e
