question,answer_llm,answer_orig,document
"I just found this course — is it still okay to join now, or did I miss the start?","Yes, you can still join now. You can start whenever you want, and if you want a certificate, make sure to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I start late, can I still take part in the course and work through the materials?","Yes. You can start whenever you want and still work through the videos, notebooks, and GitHub materials. If you want a certificate, though, you need to submit your project while a live cohort is still accepting submissions.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Am I allowed to join after the course has already begun?,"Yes, you can still join after the course has already begun. However, if you want to receive a certificate, you need to submit your project while the course is still accepting submissions.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Will I still be able to get a certificate if I enroll now?,"Yes, but only if you submit your project while the course is still accepting submissions and complete the required peer reviews. If the live cohort is still open, you can still get a certificate.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
What’s the deadline if I want to earn the certificate after joining late?,"You need to submit your capstone project while the course is still accepting submissions. After that, you also must complete the assigned peer reviews within the peer-review window.

I don’t know the exact deadline for your specific late join, but the key rule is: **certificate eligibility ends when project submissions close**.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
I signed up for LLM Zoomcamp but still didn't get any confirmation email — do I need to wait for one before starting?,"No — you don’t need to wait for a confirmation email. You’re accepted, and you can start learning and submitting homework as long as the form is open. Registration isn’t checked against a list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Do I need an acceptance or confirmation email to begin the LLM Zoomcamp homework, or can I just start?","You don’t need an acceptance or confirmation email. You’re accepted, and you can just start learning and submitting homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"If I registered for the LLM Zoomcamp, is there some approval email I’m supposed to receive later?","You don’t need to wait for an approval or confirmation email. You’re accepted already, and registration is just to gauge interest. You can start learning and submitting homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Can I submit LLM Zoomcamp homework without being on some official registered list, or is registration required first?","Yes — you can submit LLM Zoomcamp homework without being on an official registered list. Registration is **not required first**. You can start learning and submit homework while the form is open, and it is **not checked against any registered list**. Registration is only to gauge interest before the start date.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
What’s the point of registering for the LLM Zoomcamp if it doesn’t seem to trigger a confirmation message?,"You don’t need a confirmation message. You’re accepted already.

The registration form is just to gauge interest before the start date, and it is **not checked against a registered list**. You can just start learning and submit homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
How do I join the Office Hours or live workshop if the Zoom link isn’t shared with students?,"The Zoom link is only shared with instructors/presenters/TAs.

If you're a student, join via **YouTube Live** instead. The live video URL is posted in the **announcements channel on Telegram and Slack** before the session starts, and you can also watch on the **DataTalksClub YouTube channel**. For questions, use **Slido** — the link is pinned in the chat when the session is live.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Where do I find the live stream link for office hours before the session starts?,The live stream link is usually posted in the **announcements channel on Telegram and Slack before the session begins**. You can also watch it on the **DataTalksClub YouTube channel**.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Can students get the Zoom URL for workshop sessions, or is it only for the teaching team?","The Zoom URL is only published to instructors/presenters/TAs, not students. Students join via YouTube Live and can ask questions through Slido.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
What should I use to ask questions during the live session if I’m watching on YouTube?,Use **Slido** to submit questions during the live session. The Slido link is pinned in the chat when the session is live.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Is there a place to watch the office hours live and submit questions without using the Zoom room?,"Yes. You can watch live on YouTube Live and submit questions in Slido without using the Zoom room. The Zoom link is only for instructors/presenters/TAs, and the video URL is posted in the announcements channel before the session starts.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
What’s the best way to begin the course and not miss anything important?,"Start with these three resources:

1. The [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/)
2. The [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/)
3. The [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp)

Then follow this weekly workflow:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit your answers on the course platform before the deadline.

You can start anytime, and the videos, GitHub materials, and deadlines are all available on the course management platform.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Do I have to start the LLM Zoomcamp at a fixed time, or can I jump in whenever?","You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the course management platform.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"What’s the usual weekly routine for watching the lessons, doing the notebooks, and handing in homework?","A typical weekly routine is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit your answers through the course platform before the deadline.

Homework usually follows the lesson flow, but with a different dataset or slightly different task.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
